configuration,bin,topic_id,top_10_words,coherent,thematic,concentration,dominant_author,n_unique_authors_top5,notes
full_k60,full_corpus,41,thou thy thee hath hast priest thine people art great,Yes,No,0.8,"Stilson, Charles B. (Charles Billings)",2,Archaic diction - linguistic mode
full_k60,full_corpus,42,men stood hand turned voice back heard side words man,Yes,No,0.6,"Cummings, Ray",3,Narration - linguistic mode
full_k60,full_corpus,43,house road children village women place work country garden farm,Yes,Yes,0.8,"Griffith, Mary",2,Rural domestic - clear thematic
full_k60,full_corpus,44,time made long day return make great place days found,No,,0.8,"Forbes, Archibald",2,Generic function words - no clear field
full_k60,full_corpus,45,cried moment yer inventor replied declared dat young yez made,Yes,No,0.8,"Senarens, Luis",2,Dialect dialogue - linguistic mode
full_k60,full_corpus,46,birds creatures bird trees tree water creature wings great long,Yes,Yes,0.8,"Leinster, Murray",2,Creatures/nature - clear thematic
full_k60,full_corpus,47,air work metal power apparatus machine laboratory glass light electric,Yes,Yes,0.2,"Smith, E. E. (Edward Elmer)",5,Technology/laboratory - clear thematic
full_k60,full_corpus,48,planet earth sun space distance stars atmosphere projectile moon star,Yes,Yes,0.8,"Serviss, Garrett Putman",2,Planetary/space - clear thematic
full_k60,full_corpus,49,fire air wind began storm smoke fell heard moment roar,Yes,Yes,0.4,"Serviss, Garrett Putman",4,Natural forces - thematic
full_k60,full_corpus,50,car air speed plane ship machine power miles feet space,Yes,Yes,0.8,"Nowlan, Philip Francis",2,Vehicles/technology - clear thematic
full_k60,full_corpus,51,great surely made thing make presently heart utter set place,No,,1.0,"Hodgson, William Hope",1,Idiosyncratic (Hodgson) - no general field
full_k60,full_corpus,52,love woman girl eyes father life heart face mother child,Yes,Yes,0.2,"Grant, Robert",5,Love/family - clear thematic
full_k60,full_corpus,53,ships fleet air guns war ship vessels hundred speed thousand,Yes,Yes,1.0,"Griffith, George Chetwynd",1,Naval warfare - clear thematic
full_k60,full_corpus,54,mind fact made found thought world strange question knowledge case,Yes,No,0.4,"Smyth, Clifford",4,Exposition - linguistic mode
full_k60,full_corpus,55,replied good man give make word tone doubt call face,No,,1.0,Duchess,1,Generic dialogue - no clear field
full_k60,full_corpus,56,money thousand hundred dollars man business pay day gold price,Yes,Yes,0.6,"London, Jack",3,Economic - clear thematic
full_k60,full_corpus,57,miles land mountain sea trees river country north hills mountains,Yes,Yes,0.2,"Greg, Percy",5,Landscape/geography - clear thematic
full_k60,full_corpus,58,water surface miles feet hundred air heat twenty temperature time,Yes,Yes,1.0,"Wicks, Mark",1,Scientific measurement - thematic
full_k60,full_corpus,59,life women nature children art age natural society people education,Yes,Yes,0.6,"Abbott, Edwin Abbott",3,Social/philosophical - thematic
binned_mallet,1880_1899,0,light eyes stood black man back moment suddenly turned side,Yes,No,1.0,"Wells, H. G. (Herbert George)",1,Dramatic narration - linguistic mode
binned_mallet,1880_1899,1,man world life eyes words time hand death heart love,Yes,No,0.6,"Dixon, Charles",2,Poetic/dramatic - linguistic mode
binned_mallet,1880_1899,2,beauty beautiful gold music art high city love flowers soul,Yes,Yes,1.0,"Bradshaw, William Richard",1,Aestheticism/utopia - clear thematic
binned_mallet,1880_1899,3,cloth book extra boards paper read cents author work written,Yes,No,0.6,Duchess,2,Publishing paratext - coherent but not story content
binned_mallet,1880_1899,4,girl young eyes face woman good love mother people back,Yes,Yes,1.0,Duchess,1,Family/domestic - clear thematic
binned_mallet,1880_1899,5,cried men back hand made ground moment body time head,Yes,No,1.0,"Senarens, Luis",1,Action narration - linguistic mode
binned_mallet,1880_1899,6,boat ship water deck good made time long cabin vessel,Yes,Yes,1.0,"Janvier, Thomas A. (Thomas Allibone)",1,Nautical - clear thematic
binned_mallet,1880_1899,7,water trees white great sea bird mountain rock day birds,Yes,Yes,0.8,"Wells, H. G. (Herbert George)",2,Natural landscape - clear thematic
binned_mallet,1880_1899,8,life body man human years light matter science space world,Yes,Yes,0.8,"Flammarion, Camille",2,Science/philosophy - clear thematic
binned_mallet,1880_1899,9,men people man world years great life work women country,Yes,Yes,0.8,"Bellamy, Edward",2,Social/political - clear thematic
binned_mallet,1880_1899,10,earth air sun water miles surface hundred great feet planet,Yes,Yes,0.6,"Munro, John",2,Planetary - clear thematic
binned_mallet,1880_1899,11,time good thing man made day hundred people make dollars,No,,1.0,"Twain, Mark",1,Generic + scattered - no clear field
binned_mallet,1880_1899,12,man room door looked night house hand table thought asked,Yes,No,0.8,"Matthews, Brander",2,Domestic scenes/narration - linguistic mode
binned_mallet,1880_1899,13,ships air war guns men fleet enemy force line ship,Yes,Yes,1.0,"Griffith, George Chetwynd",1,Military/warfare - clear thematic
binned_mallet,1880_1899,14,time made make fact found great case replied good question,No,,1.0,"Abbott, Edwin Abbott",1,Generic function words - no clear field
binned_mallet,1900_1914,0,illustrated copies book fred full instructions nett complete published anderson,Yes,No,1.0,"Senarens, Luis",1,Publishing paratext - coherent but not story content
binned_mallet,1900_1914,1,life world men human years man power great women nature,Yes,Yes,1.0,"Sweven, Godfrey",1,Social/philosophical - clear thematic
binned_mallet,1900_1914,2,ship cried professor asked exclaimed water air boys replied inventor,Yes,Yes,1.0,"Rockwood, Roy",1,Adventure - thematic with dialogue markers
binned_mallet,1900_1914,3,earth planet miles sun surface water atmosphere large distance time,Yes,Yes,1.0,"Serviss, Garrett Putman",1,Planetary - clear thematic
binned_mallet,1900_1914,4,time man day made good make matter give replied thought,No,,1.0,"Hastings, George Gordon",1,Generic function words - no clear field
binned_mallet,1900_1914,5,man woman good asked thing room young back girl looked,Yes,Yes,0.6,"MacKaye, Harold Steele",3,Domestic/interpersonal - thematic
binned_mallet,1900_1914,6,back moment hand head face eyes fell turned suddenly feet,Yes,No,0.4,"Savile, Frank (Frank Mackenzie)",4,Action narration - linguistic mode
binned_mallet,1900_1914,7,made great surely make thing heart presently set time utter,No,,1.0,"Hodgson, William Hope",1,Idiosyncratic (archaic) - no general field
binned_mallet,1900_1914,8,george beautiful eyes love great people woman white world young,Yes,Yes,0.8,"Glass, Charles Wilder, Mrs.",2,Romance/beauty - thematic (george is odd)
binned_mallet,1900_1914,9,war men ships guns enemy fleet battle attack army officer,Yes,Yes,0.4,"Niemann, August",3,Military/warfare - clear thematic
binned_mallet,1900_1914,10,great made men tree long forest day trees things place,Yes,Yes,1.0,"Waterloo, Stanley",1,Nature/primitive - thematic
binned_mallet,1900_1914,11,ship boat deck sea men sun water light time night,Yes,Yes,1.0,"Hodgson, William Hope",1,Nautical - clear thematic
binned_mallet,1900_1914,12,water feet long sea great sky high found ice mountain,Yes,Yes,0.4,"Paine, Albert Bigelow",4,Natural landscape - clear thematic
binned_mallet,1900_1914,13,people work men day great country large city hundred class,Yes,Yes,1.0,"London, Jack",1,Social/political - clear thematic
binned_mallet,1900_1914,14,room stood looked door back eyes man light turned face,Yes,No,0.8,"Benson, Robert Hugh",2,Narration/action - linguistic mode
binned_mallet,1915_1930,0,men stood palace white gold priest king walls side room,Yes,Yes,0.8,"Stilson, Charles B. (Charles Billings)",2,Palace/exotic - clear thematic
binned_mallet,1915_1930,1,great replied time long man asked escape cave people beneath,Yes,Yes,1.0,"Burroughs, Edgar Rice",1,Adventure/escape - thematic
binned_mallet,1915_1930,2,ship deck boat room men vessel back cabin crew small,Yes,Yes,0.8,Various,2,Nautical - clear thematic
binned_mallet,1915_1930,3,world men people years life man human women day power,Yes,Yes,0.4,"Hastings, Milo",4,Future history - clear thematic
binned_mallet,1915_1930,4,man room door back asked night house looked table time,Yes,No,0.4,Various,3,Domestic scenes/narration - linguistic mode
binned_mallet,1915_1930,5,time made mind fact matter found part present great case,No,,0.4,"Odle, E. V. (Edwin Vincent)",3,Generic function words - no clear field
binned_mallet,1915_1930,6,light water air great sky sea feet sun black white,Yes,Yes,0.6,"Hamilton, Edmond",2,Natural/elemental - thematic
binned_mallet,1915_1930,7,back face man hand head eyes body feet stood men,Yes,No,0.4,Various,4,Body/action narration - linguistic mode
binned_mallet,1915_1930,8,time power space air light machine metal laboratory force rays,Yes,Yes,0.4,"Smith, E. E. (Edward Elmer)",3,Technology - clear thematic
binned_mallet,1915_1930,9,man eyes woman face love life father heart thought words,Yes,Yes,0.4,"Davis, Owen",4,Love/romance - clear thematic
binned_mallet,1915_1930,10,men enemy war guns hundred fleet thousand army fight time,Yes,Yes,0.6,"Moffett, Cleveland",2,Military/warfare - clear thematic
binned_mallet,1915_1930,11,story magazine read issue author poem line amended work written,Yes,No,1.0,"Lovecraft, H. P. (Howard Phillips)",1,Magazine paratext - coherent but not story content
binned_mallet,1915_1930,12,things good time day thing people years mother thought young,No,,0.4,"Wells, H. G. (Herbert George)",4,Generic words - no clear field
binned_mallet,1915_1930,13,men man long day found back valley rock sand water,Yes,Yes,0.8,"Gompertz, Martin Louis Alan",2,Landscape/exploration - thematic
binned_mallet,1915_1930,14,earth green long body creatures strange trees creature animal food,Yes,Yes,0.8,"Leinster, Murray",2,Alien biology - clear thematic
binned_mallet,pre_1880,0,sea vessel boat ship shore coast water land wind board,Yes,Yes,1.0,"Verne, Jules",1,Nautical - clear thematic
binned_mallet,pre_1880,1,sea fish meters water surface waters replied long waves ocean,Yes,Yes,1.0,"Verne, Jules",1,Marine/ocean - clear thematic
binned_mallet,pre_1880,2,padre instinctive source welson children expression affectionate affection goodness purity,No,,1.0,"Smile, R. Elton",1,Idiosyncratic (Smile) - no general field
binned_mallet,pre_1880,3,projectile air water iron feet work made weight hundred days,Yes,Yes,1.0,"Verne, Jules",1,Technology/engineering - thematic
binned_mallet,pre_1880,4,surface feet miles sun light water distance point part lava,Yes,Yes,0.6,"Greg, Percy",2,Planetary/geological - thematic
binned_mallet,pre_1880,5,earth world thy nature heart plague sun air human thou,Yes,No,0.8,"Rhodes, W. H. (William Henry)",2,Archaic/poetic diction - linguistic mode
binned_mallet,pre_1880,6,time great men country people found years world life public,Yes,Yes,1.0,"Seaborn, Adam, Captain",1,Social/historical - thematic
binned_mallet,pre_1880,7,good time young poor wife man house day great children,Yes,Yes,1.0,"Griffith, Mary",1,Domestic - clear thematic
binned_mallet,pre_1880,8,eyes hand moment back light time head night fell heard,Yes,No,0.6,"Verne, Jules",3,Action narration - linguistic mode
binned_mallet,pre_1880,9,doctor trees feet ground long birds made country miles hundred,Yes,Yes,1.0,"Verne, Jules",1,Nature/exploration - thematic
binned_mallet,pre_1880,10,half left hand till form women household part answered life,No,,0.8,"Greg, Percy",2,Fragmented - no clear field
binned_mallet,pre_1880,11,replied asked man make made uncle time give good cried,No,,1.0,"Verne, Jules",1,Generic dialogue markers - no clear field
binned_mallet,pre_1880,12,whilst doctor cried till people returned soldiers crowd army duke,Yes,No,1.0,"Loudon, Mrs. (Jane)",1,Mixed action + archaic - linguistic mode (borderline)
binned_mallet,pre_1880,13,engineer sailor colonists reporter companions replied time corral answered day,Yes,No,1.0,"Verne, Jules",1,Character roles - coherent but not thematic content
binned_mallet,pre_1880,14,love life father heart death felt day mind eyes feelings,Yes,Yes,1.0,"Shelley, Mary Wollstonecraft",1,Emotion/psychology - thematic
binned_authorless,1880_1899,0,life man human world mind body nature time existence power,Yes,Yes,0.8,"Flammarion, Camille",2,Philosophy/existence - clear semantic field
binned_authorless,1880_1899,1,man hand death eyes back men words voice life hands,Yes,No,0.6,"Griffith, George Chetwynd",2,Dramatic/action narration - linguistic mode
binned_authorless,1880_1899,2,water sea great mountain land trees lake beneath ice rock,Yes,Yes,0.4,"Lloyd, John Uri",4,Natural landscape - clear thematic
binned_authorless,1880_1899,3,love thou thy thee people life soul heart hath art,Yes,No,0.6,"Douglass, Ellsworth",3,Archaic/poetic diction - linguistic mode
binned_authorless,1880_1899,4,book read paper cloth story work written books interest reader,Yes,No,1.0,Duchess,1,Books/publishing - coherent but paratext
binned_authorless,1880_1899,5,ships men battle war enemy force guns time fire air,Yes,Yes,0.8,"Griffith, George Chetwynd",2,Military/warfare - clear thematic
binned_authorless,1880_1899,6,earth planet sun air space surface atmosphere light motion globe,Yes,Yes,0.8,"Flammarion, Camille",2,Planets/space - clear thematic
binned_authorless,1880_1899,7,young girl woman eyes love father face mother life wife,Yes,Yes,0.8,Duchess,2,Family/domestic - clear thematic
binned_authorless,1880_1899,8,city beautiful white music beauty great gold people stood flowers,Yes,Yes,0.4,"Bradshaw, William Richard",4,Utopia/aesthetics - clear thematic
binned_authorless,1880_1899,9,ship air long speed time miles boat deck water feet,Yes,Yes,0.6,"Griffith, George Chetwynd",3,Ships/travel - clear thematic
binned_authorless,1880_1899,10,time made found make fact place replied case asked day,No,,0.2,"Abbott, Edwin Abbott",5,Generic function words - no semantic field
binned_authorless,1880_1899,11,man good thing room time day made back put make,No,,1.0,"Wells, H. G. (Herbert George)",1,Generic function words - no semantic field
binned_authorless,1880_1899,12,light night eyes darkness dark felt strange sky black began,Yes,Yes,1.0,"Wells, H. G. (Herbert George)",1,Night/darkness/atmosphere - thematic setting
binned_authorless,1880_1899,13,men people great world years work day country man women,Yes,Yes,0.6,"Donnelly, Ignatius",3,Social/historical - clear thematic
binned_authorless,1880_1899,14,men hand moment stood feet back man side head white,No,,0.8,"Wells, H. G. (Herbert George)",2,Body parts + generic - no clear field
binned_authorless,1900_1914,0,men great made back head ground long fell found wild,No,,1.0,"Waterloo, Stanley",1,Generic + scattered - no clear field
binned_authorless,1900_1914,1,time world fact made long work years life great planet,Yes,Yes,0.8,"Wicks, Mark",2,Planetary/cosmological history
binned_authorless,1900_1914,2,book full boy complete good young books making page anderson,Yes,No,1.0,"Senarens, Luis",1,Paratext/advertising - coherent but not story content
binned_authorless,1900_1914,3,men war ships guns enemy battle fire attack time fleet,Yes,Yes,0.8,"Griffith, George Chetwynd",2,Military/warfare - clear thematic
binned_authorless,1900_1914,4,boat ship sea water deck men wind shore night vessel,Yes,Yes,1.0,"Hodgson, William Hope",1,Nautical - clear thematic
binned_authorless,1900_1914,5,people men great world women country public man power life,Yes,Yes,1.0,"Sweven, Godfrey",1,Social/political - clear thematic
binned_authorless,1900_1914,6,life man world thought love day heart knew long night,Yes,Yes,0.2,"London, Jack",5,Love/inner life - somewhat diffuse but thematic
binned_authorless,1900_1914,7,water feet miles sun high earth great long hundred mountain,Yes,Yes,0.6,"Wicks, Mark",2,Natural world/exploration - thematic
binned_authorless,1900_1914,8,stood light eyes looked back turned door hand white room,Yes,No,0.6,"Benson, Robert Hugh",3,Narration/action - linguistic mode
binned_authorless,1900_1914,9,man asked back looked time good put thing room answered,Yes,No,1.0,"Hodgson, William Hope",1,Dialogue/narration - linguistic mode
binned_authorless,1900_1914,10,day morning house work found left town train years night,Yes,Yes,0.4,"Grautoff, Ferdinand Heinrich",4,Daily life/realistic - thematic
binned_authorless,1900_1914,11,cried ship air time replied exclaimed water asked moment machine,Yes,Yes,0.6,"Senarens, Luis",2,Adventure/exclamation - thematic (borderline)
binned_authorless,1900_1914,12,great time thing made make place moment strange thought set,No,,1.0,"Hodgson, William Hope",1,Generic words - no clear field
binned_authorless,1900_1914,13,time made day make good give return present leave friend,No,,0.8,"Hastings, George Gordon",2,Generic words - no clear field
binned_authorless,1900_1914,14,young woman people beautiful women eyes great white girl gold,Yes,Yes,0.4,"Glass, Charles Wilder, Mrs.",4,Women/beauty - thematic
binned_authorless,1915_1930,0,ship air water plane sea deck boat speed cabin black,Yes,Yes,0.4,Various,3,Air/sea ships - clear thematic
binned_authorless,1915_1930,1,time man replied made make found asked place left knew,No,,1.0,"Burroughs, Edgar Rice",1,Generic dialogue markers - no clear field
binned_authorless,1915_1930,2,room door light stood window floor back voice house dark,Yes,Yes,1.0,Various,1,Interior/haunted house - thematic setting
binned_authorless,1915_1930,3,world men life years people time human things days great,Yes,Yes,0.4,"Moffett, Cleveland",4,Future history/civilization - thematic
binned_authorless,1915_1930,4,white gold men red people blue stood palace side eyes,Yes,Yes,0.6,"Stilson, Charles B. (Charles Billings)",3,Palace/exotic setting - thematic (colors as markers)
binned_authorless,1915_1930,5,back man eyes face head body hand hands men turned,Yes,No,0.4,Various,4,Body/action narration - linguistic mode
binned_authorless,1915_1930,6,story read work book paper good present interest written large,Yes,No,0.8,Various,2,Magazine paratext - coherent but not story content
binned_authorless,1915_1930,7,man great food creature men creatures village long animal tree,Yes,Yes,1.0,"Burroughs, Edgar Rice",1,Primitive/alien world - clear thematic
binned_authorless,1915_1930,8,time back good day thing things put asked made thought,No,,0.4,"Onions, Oliver",4,Generic words - no clear field
binned_authorless,1915_1930,9,man eyes woman face love girl father life hand voice,Yes,Yes,0.4,"Giesy, J. U. (John Ulrich)",4,Love/romance - clear thematic
binned_authorless,1915_1930,10,air space power light time machine laboratory metal earth work,Yes,Yes,0.4,"Nowlan, Philip Francis",3,Technology/laboratory - clear thematic
binned_authorless,1915_1930,11,strange eyes mind thing light thought felt time great life,Yes,Yes,0.4,Various,4,Strange experiences/mental - thematic
binned_authorless,1915_1930,12,feet side back rock time wall end great turned tunnel,Yes,Yes,1.0,"Burroughs, Edgar Rice",1,Underground/spelunking - thematic setting
binned_authorless,1915_1930,13,water night sun long day sky lay wind trees miles,Yes,Yes,0.4,"Gompertz, Martin Louis Alan",4,Outdoor/nature - thematic
binned_authorless,1915_1930,14,men enemy fight war city battle fighting hundred great thousand,Yes,Yes,0.4,"Moffett, Cleveland",4,War/battle - clear thematic
binned_authorless,pre_1880,0,fish water sea surface long waters animal degrees back ocean,Yes,Yes,1.0,"Verne, Jules",1,Marine/nautical - clear thematic
binned_authorless,pre_1880,1,engineer sailor time companions colonists reporter answered back day shore,Yes,No,1.0,"Verne, Jules",1,Character roles - coherent but not thematic content
binned_authorless,pre_1880,2,sun found trees earth appeared left light day land white,Yes,Yes,0.4,"Shelley, Mary Wollstonecraft",4,Natural world - somewhat diffuse but thematic
binned_authorless,pre_1880,3,replied asked made make man good give time day find,No,,0.8,"Verne, Jules",2,Generic dialogue - no clear field
binned_authorless,pre_1880,4,doctor feet hundred birds long miles ground country trees tree,Yes,Yes,1.0,"Verne, Jules",1,Exploration/nature - thematic
binned_authorless,pre_1880,5,eyes moment hand head light thought heard long cried fell,Yes,No,1.0,"Loudon, Mrs. (Jane)",1,Action narration - linguistic mode
binned_authorless,pre_1880,6,young good time house wife poor man mother great room,Yes,Yes,1.0,"Griffith, Mary",1,Domestic - clear thematic
binned_authorless,pre_1880,7,children affection expression women race direction impression habits effect source,No,,1.0,"Smile, R. Elton",1,Abstract/idiosyncratic - no clear field
binned_authorless,pre_1880,8,life love heart father mind feelings day felt death thought,Yes,Yes,1.0,"Shelley, Mary Wollstonecraft",1,Emotion/psychology - thematic
binned_authorless,pre_1880,9,thy thou world spirit earth till people war army soul,Yes,No,0.8,"Rhodes, W. H. (William Henry)",2,Archaic/poetic diction - linguistic mode
binned_authorless,pre_1880,10,vessel sea ship boat shore coast wind board land water,Yes,Yes,1.0,"Verne, Jules",1,Nautical - clear thematic
binned_authorless,pre_1880,11,miles feet surface distance point space hundred air atmosphere sun,Yes,Yes,0.6,"Greg, Percy",2,Space/measurement - thematic
binned_authorless,pre_1880,12,made work day time water iron make fire great long,Yes,Yes,1.0,"Verne, Jules",1,Labor/crafting - thematic (borderline)
binned_authorless,pre_1880,13,uncle water feet volcano lava great hundred light sea surface,Yes,Yes,1.0,"Verne, Jules",1,Volcanic/geological - thematic
binned_authorless,pre_1880,14,life great men years time world man people country science,Yes,Yes,0.4,"Shelley, Mary Wollstonecraft",4,History/civilization - thematic
